"year","births","pop","deaths","provname"
1960,46.626,289573.7682136,21.77,"Banteay Meanchey"
1961,46.353,297194.4980784,21.61,"Banteay Meanchey"
1962,46.067,305061.6684492,21.435,"Banteay Meanchey"
1963,45.762,312912.9492268,21.254,"Banteay Meanchey"
1964,45.435,320395.0752834,21.086,"Banteay Meanchey"
1965,45.082,327264.4399258,20.859,"Banteay Meanchey"
1966,44.702,333227.7435292,20.472,"Banteay Meanchey"
1967,44.302,338335.0332518,19.965,"Banteay Meanchey"
1968,43.89,343082.5299564,19.485,"Banteay Meanchey"
1969,43.474,348185.6701674,19.246,"Banteay Meanchey"
1970,43.026,354053.3325888,19.885,"Banteay Meanchey"
1971,42.508,361292.914632,22.164,"Banteay Meanchey"
1972,41.928,369514.7164332,26.319,"Banteay Meanchey"
1973,41.333,376959.4968854,32.166,"Banteay Meanchey"
1974,40.795,381215.2258616,39.186,"Banteay Meanchey"
1975,40.491,380766.1171366,46.18,"Banteay Meanchey"
1976,40.626,374705.3000106,51.642,"Banteay Meanchey"
1977,41.288,364147.0701596,54.444,"Banteay Meanchey"
1978,42.466,352064.1478146,53.981,"Banteay Meanchey"
1979,44.067,342607.6132934,50.262,"Banteay Meanchey"
1980,45.883,338729.6416842,43.92,"Banteay Meanchey"
1981,47.64,341568.0088262,36.102,"Banteay Meanchey"
1982,49.063,350168.3270514,28.323,"Banteay Meanchey"
1983,49.943,362829.4484152,21.785,"Banteay Meanchey"
1984,50.185,376889.2082072,17.007,"Banteay Meanchey"
1985,49.766,390402.9529972,14.164,"Banteay Meanchey"
1986,48.756,402854.4228176,13.009,"Banteay Meanchey"
1987,47.36,414854.1019116,12.757,"Banteay Meanchey"
1988,45.769,426889.0518542,12.753,"Banteay Meanchey"
1989,44.077,439814.3756578,12.775,"Banteay Meanchey"
1990,42.358,454199.3154686,12.678,"Banteay Meanchey"
1991,40.647,470073.7781324,12.43,"Banteay Meanchey"
1992,38.94,487005.8602162,12.139,"Banteay Meanchey"
1993,37.251,504556.6749626,11.88,"Banteay Meanchey"
1994,35.62,522124.9986238,11.625,"Banteay Meanchey"
1995,34.079,539241.430351,11.346,"Banteay Meanchey"
1996,32.643,555777.4364922,11.026,"Banteay Meanchey"
1997,31.309,571751.7910572,10.669,"Banteay Meanchey"
1998,30.085,587029.887938,10.28,"Banteay Meanchey"
1999,28.989,601500.2469632,9.863,"Banteay Meanchey"
2000,28.058,615101.3845158,9.426,"Banteay Meanchey"
2001,27.326,627760.9371618,8.983,"Banteay Meanchey"
2002,26.793,639516.6047322,8.553,"Banteay Meanchey"
2003,26.44,650571.1060498,8.153,"Banteay Meanchey"
2004,26.241,661213.287605,7.792,"Banteay Meanchey"
2005,26.147,671682.201749,7.479,"Banteay Meanchey"
2006,26.101,682023.088279,7.214,"Banteay Meanchey"
2007,26.05,692257.6056214,6.991,"Banteay Meanchey"
2008,25.947,702574.809573,6.802,"Banteay Meanchey"
2009,25.767,713189.968699,6.644,"Banteay Meanchey"
2010,25.502,724251.959379,6.512,"Banteay Meanchey"
2011,25.166,735851.1599998,6.401,"Banteay Meanchey"
2012,24.797,747947.1381252,6.308,"Banteay Meanchey"
2013,24.422,760389.398054,6.228,"Banteay Meanchey"
2014,24.048,772948.0467228,6.159,"Banteay Meanchey"
2015,23.674,785443.592453,6.099,"Banteay Meanchey"
2016,23.291,797834.185902,6.051,"Banteay Meanchey"
2017,22.889,810137.1335694,6.017,"Banteay Meanchey"
2018,22.464,822301.376221,5.997,"Banteay Meanchey"
2019,22.02,834281.6740596,5.992,"Banteay Meanchey"
2020,NA,846043.4646898,NA,"Banteay Meanchey"
1960,46.626,437934.2736344,21.77,"Battambang"
1961,46.353,449459.4156336,21.61,"Battambang"
1962,46.067,461357.2597068,21.435,"Battambang"
1963,45.762,473231.0732972,21.254,"Battambang"
1964,45.435,484546.5990786,21.086,"Battambang"
1965,45.082,494935.4206682,20.859,"Battambang"
1966,44.702,503953.9690268,20.472,"Battambang"
1967,44.302,511677.9325222,19.965,"Battambang"
1968,43.89,518857.7662956,19.485,"Battambang"
1969,43.474,526575.4543146,19.246,"Battambang"
1970,43.026,535449.3605952,19.885,"Battambang"
1971,42.508,546398.077128,22.164,"Battambang"
1972,41.928,558832.2448428,26.319,"Battambang"
1973,41.333,570091.2913366,32.166,"Battambang"
1974,40.795,576527.4046264,39.186,"Battambang"
1975,40.491,575848.1991014,46.18,"Battambang"
1976,40.626,566682.1770474,51.642,"Battambang"
1977,41.288,550714.5334684,54.444,"Battambang"
1978,42.466,532441.0349634,53.981,"Battambang"
1979,44.067,518139.5303686,50.262,"Battambang"
1980,45.883,512274.7150218,43.92,"Battambang"
1981,47.64,516567.2939398,36.102,"Battambang"
1982,49.063,529573.9075506,28.323,"Battambang"
1983,49.943,548721.8401208,21.785,"Battambang"
1984,50.185,569984.9908888,17.007,"Battambang"
1985,49.766,590422.3807988,14.164,"Battambang"
1986,48.756,609253.2487504,13.009,"Battambang"
1987,47.36,627400.8550764,12.757,"Battambang"
1988,45.769,645601.8029518,12.753,"Battambang"
1989,44.077,665149.2996962,12.775,"Battambang"
1990,42.358,686904.2335294,12.678,"Battambang"
1991,40.647,710911.8337996,12.43,"Battambang"
1992,38.94,736518.9152498,12.139,"Battambang"
1993,37.251,763061.7314554,11.88,"Battambang"
1994,35.62,789631.0271102,11.625,"Battambang"
1995,34.079,815516.908079,11.346,"Battambang"
1996,32.643,840524.9876538,11.026,"Battambang"
1997,31.309,864683.6585388,10.669,"Battambang"
1998,30.085,887789.350402,10.28,"Battambang"
1999,28.989,909673.4672128,9.863,"Battambang"
2000,28.058,930243.0247782,9.426,"Battambang"
2001,27.326,949388.5849122,8.983,"Battambang"
2002,26.793,967167.1626138,8.553,"Battambang"
2003,26.44,983885.3378642,8.153,"Battambang"
2004,26.241,999979.945045,7.792,"Battambang"
2005,26.147,1015812.512821,7.479,"Battambang"
2006,26.101,1031451.459191,7.214,"Battambang"
2007,26.05,1046929.5390806,6.991,"Battambang"
2008,25.947,1062532.669317,6.802,"Battambang"
2009,25.767,1078586.409371,6.644,"Battambang"
2010,25.502,1095315.911091,6.512,"Battambang"
2011,25.166,1112857.8574142,6.401,"Battambang"
2012,24.797,1131151.1007108,6.308,"Battambang"
2013,24.422,1149968.040166,6.228,"Battambang"
2014,24.048,1168960.9990812,6.159,"Battambang"
2015,23.674,1187858.524837,6.099,"Battambang"
2016,23.291,1206597.326958,6.051,"Battambang"
2017,22.889,1225203.5787726,6.017,"Battambang"
2018,22.464,1243600.061309,5.997,"Battambang"
2019,22.02,1261718.3565684,5.992,"Battambang"
2020,NA,1279506.1944242,NA,"Battambang"
1960,46.626,395565.8313464,21.77,"Kampong Cham"
1961,46.353,405975.9605616,21.61,"Kampong Cham"
1962,46.067,416722.7343708,21.435,"Kampong Cham"
1963,45.762,427447.8025532,21.254,"Kampong Cham"
1964,45.435,437668.5951066,21.086,"Kampong Cham"
1965,45.082,447052.3385042,20.859,"Kampong Cham"
1966,44.702,455198.3772908,20.472,"Kampong Cham"
1967,44.302,462175.0772782,19.965,"Kampong Cham"
1968,43.89,468660.2899836,19.485,"Kampong Cham"
1969,43.474,475631.3216226,19.246,"Kampong Cham"
1970,43.026,483646.7118912,19.885,"Kampong Cham"
1971,42.508,493536.182568,22.164,"Kampong Cham"
1972,41.928,504767.3927868,26.319,"Kampong Cham"
1973,41.333,514937.1702046,32.166,"Kampong Cham"
1974,40.795,520750.6144984,39.186,"Kampong Cham"
1975,40.491,520137.1194734,46.18,"Kampong Cham"
1976,40.626,511857.8744994,51.642,"Kampong Cham"
1977,41.288,497435.0385004,54.444,"Kampong Cham"
1978,42.466,480929.4300954,53.981,"Kampong Cham"
1979,44.067,468011.5405966,50.262,"Kampong Cham"
1980,45.883,462714.1233858,43.92,"Kampong Cham"
1981,47.64,466591.4119438,36.102,"Kampong Cham"
1982,49.063,478339.6861386,28.323,"Kampong Cham"
1983,49.943,495635.1305048,21.785,"Kampong Cham"
1984,50.185,514841.1539128,17.007,"Kampong Cham"
1985,49.766,533301.3056228,14.164,"Kampong Cham"
1986,48.756,550310.3601424,13.009,"Kampong Cham"
1987,47.36,566702.2559484,12.757,"Kampong Cham"
1988,45.769,583142.3327158,12.753,"Kampong Cham"
1989,44.077,600798.6849722,12.775,"Kampong Cham"
1990,42.358,620448.9133414,12.678,"Kampong Cham"
1991,40.647,642133.8714076,12.43,"Kampong Cham"
1992,38.94,665263.5670538,12.139,"Kampong Cham"
1993,37.251,689238.4687474,11.88,"Kampong Cham"
1994,35.62,713237.2881062,11.625,"Kampong Cham"
1995,34.079,736618.810499,11.346,"Kampong Cham"
1996,32.643,759207.4553778,11.026,"Kampong Cham"
1997,31.309,781028.8685628,10.669,"Kampong Cham"
1998,30.085,801899.174362,10.28,"Kampong Cham"
1999,28.989,821666.0877568,9.863,"Kampong Cham"
2000,28.058,840245.6204142,9.426,"Kampong Cham"
2001,27.326,857538.9218682,8.983,"Kampong Cham"
2002,26.793,873597.4911378,8.553,"Kampong Cham"
2003,26.44,888698.2477802,8.153,"Kampong Cham"
2004,26.241,903235.764145,7.792,"Kampong Cham"
2005,26.147,917536.592401,7.479,"Kampong Cham"
2006,26.101,931662.531371,7.214,"Kampong Cham"
2007,26.05,945643.1670686,6.991,"Kampong Cham"
2008,25.947,959736.754977,6.802,"Kampong Cham"
2009,25.767,974237.357951,6.644,"Kampong Cham"
2010,25.502,989348.345271,6.512,"Kampong Cham"
2011,25.166,1005193.1763302,6.401,"Kampong Cham"
2012,24.797,1021716.6192948,6.308,"Kampong Cham"
2013,24.422,1038713.092846,6.228,"Kampong Cham"
2014,24.048,1055868.5566572,6.159,"Kampong Cham"
2015,23.674,1072937.820097,6.099,"Kampong Cham"
2016,23.291,1089863.715798,6.051,"Kampong Cham"
2017,22.889,1106669.8849206,6.017,"Kampong Cham"
2018,22.464,1123286.579129,5.997,"Kampong Cham"
2019,22.02,1139651.9996004,5.992,"Kampong Cham"
2020,NA,1155718.9331402,NA,"Kampong Cham"
1960,46.626,201774.8423804,21.77,"Kampong Chhnang"
1961,46.353,207084.9627576,21.61,"Kampong Chhnang"
1962,46.067,212566.8027438,21.435,"Kampong Chhnang"
1963,45.762,218037.5708702,21.254,"Kampong Chhnang"
1964,45.435,223251.1121901,21.086,"Kampong Chhnang"
1965,45.082,228037.6816937,20.859,"Kampong Chhnang"
1966,44.702,232192.9083638,20.472,"Kampong Chhnang"
1967,44.302,235751.6650327,19.965,"Kampong Chhnang"
1968,43.89,239059.7181246,19.485,"Kampong Chhnang"
1969,43.474,242615.5834161,19.246,"Kampong Chhnang"
1970,43.026,246704.1673632,19.885,"Kampong Chhnang"
1971,42.508,251748.704148,22.164,"Kampong Chhnang"
1972,41.928,257477.6511198,26.319,"Kampong Chhnang"
1973,41.333,262665.1700431,32.166,"Kampong Chhnang"
1974,40.795,265630.5596524,39.186,"Kampong Chhnang"
1975,40.491,265317.6209399,46.18,"Kampong Chhnang"
1976,40.626,261094.4469009,51.642,"Kampong Chhnang"
1977,41.288,253737.4781494,54.444,"Kampong Chhnang"
1978,42.466,245318.1045069,53.981,"Kampong Chhnang"
1979,44.067,238728.7964551,50.262,"Kampong Chhnang"
1980,45.883,236026.6279713,43.92,"Kampong Chhnang"
1981,47.64,238004.4006343,36.102,"Kampong Chhnang"
1982,49.063,243997.0976421,28.323,"Kampong Chhnang"
1983,49.943,252819.3600428,21.785,"Kampong Chhnang"
1984,50.185,262616.1929308,17.007,"Kampong Chhnang"
1985,49.766,272032.5628658,14.164,"Kampong Chhnang"
1986,48.756,280708.7401864,13.009,"Kampong Chhnang"
1987,47.36,289070.1099774,12.757,"Kampong Chhnang"
1988,45.769,297456.0564763,12.753,"Kampong Chhnang"
1989,44.077,306462.4149917,12.775,"Kampong Chhnang"
1990,42.358,316485.8331379,12.678,"Kampong Chhnang"
1991,40.647,327547.1499886,12.43,"Kampong Chhnang"
1992,38.94,339345.4154693,12.139,"Kampong Chhnang"
1993,37.251,351574.8135289,11.88,"Kampong Chhnang"
1994,35.62,363816.4117907,11.625,"Kampong Chhnang"
1995,34.079,375743.1320015,11.346,"Kampong Chhnang"
1996,32.643,387265.4119833,11.026,"Kampong Chhnang"
1997,31.309,398396.3334558,10.669,"Kampong Chhnang"
1998,30.085,409042.102957,10.28,"Kampong Chhnang"
1999,28.989,419125.0411648,9.863,"Kampong Chhnang"
2000,28.058,428602.3063287,9.426,"Kampong Chhnang"
2001,27.326,437423.4756477,8.983,"Kampong Chhnang"
2002,26.793,445614.8183433,8.553,"Kampong Chhnang"
2003,26.44,453317.5887797,8.153,"Kampong Chhnang"
2004,26.241,460733.0550325,7.792,"Kampong Chhnang"
2005,26.147,468027.7886485,7.479,"Kampong Chhnang"
2006,26.101,475233.3126935,7.214,"Kampong Chhnang"
2007,26.05,482364.7187471,6.991,"Kampong Chhnang"
2008,25.947,489553.7407845,6.802,"Kampong Chhnang"
2009,25.767,496950.3778235,6.644,"Kampong Chhnang"
2010,25.502,504658.3668435,6.512,"Kampong Chhnang"
2011,25.166,512740.6834547,6.401,"Kampong Chhnang"
2012,24.797,521169.1543578,6.308,"Kampong Chhnang"
2013,24.422,529838.914231,6.228,"Kampong Chhnang"
2014,24.048,538589.7737142,6.159,"Kampong Chhnang"
2015,23.674,547296.6631045,6.099,"Kampong Chhnang"
2016,23.291,555930.421803,6.051,"Kampong Chhnang"
2017,22.889,564503.1089691,6.017,"Kampong Chhnang"
2018,22.464,572979.1465565,5.997,"Kampong Chhnang"
2019,22.02,581327.0114994,5.992,"Kampong Chhnang"
2020,NA,589522.6207397,NA,"Kampong Chhnang"
1960,46.626,306264.210626,21.77,"Kampong Speu"
1961,46.353,314324.183844,21.61,"Kampong Speu"
1962,46.067,322644.801897,21.435,"Kampong Speu"
1963,45.762,330948.614513,21.254,"Kampong Speu"
1964,45.435,338861.9950815,21.086,"Kampong Speu"
1965,45.082,346127.2959155,20.859,"Kampong Speu"
1966,44.702,352434.312197,20.472,"Kampong Speu"
1967,44.302,357835.9757005,19.965,"Kampong Speu"
1968,43.89,362857.108449,19.485,"Kampong Speu"
1969,43.474,368254.3832715,19.246,"Kampong Speu"
1970,43.026,374460.245808,19.885,"Kampong Speu"
1971,42.508,382117.10262,22.164,"Kampong Speu"
1972,41.928,390812.792337,26.319,"Kampong Speu"
1973,41.333,398686.6747765,32.166,"Kampong Speu"
1974,40.795,403187.695306,39.186,"Kampong Speu"
1975,40.491,402712.7008685,46.18,"Kampong Speu"
1976,40.626,396302.5505835,51.642,"Kampong Speu"
1977,41.288,385135.765861,54.444,"Kampong Speu"
1978,42.466,372356.4084735,53.981,"Kampong Speu"
1979,44.067,362354.8185565,50.262,"Kampong Speu"
1980,45.883,358253.3285595,43.92,"Kampong Speu"
1981,47.64,361255.2934045,36.102,"Kampong Speu"
1982,49.063,370351.3164615,28.323,"Kampong Speu"
1983,49.943,383742.199082,21.785,"Kampong Speu"
1984,50.185,398612.334802,17.007,"Kampong Speu"
1985,49.766,412904.984327,14.164,"Kampong Speu"
1986,48.756,426074.131516,13.009,"Kampong Speu"
1987,47.36,438765.447681,12.757,"Kampong Speu"
1988,45.769,451494.0676345,12.753,"Kampong Speu"
1989,44.077,465164.3807855,12.775,"Kampong Speu"
1990,42.358,480378.4392385,12.678,"Kampong Speu"
1991,40.647,497167.873609,12.43,"Kampong Speu"
1992,38.94,515075.8864295,12.139,"Kampong Speu"
1993,37.251,533638.2944035,11.88,"Kampong Speu"
1994,35.62,552219.2204705,11.625,"Kampong Speu"
1995,34.079,570322.2084725,11.346,"Kampong Speu"
1996,32.643,587811.3163395,11.026,"Kampong Speu"
1997,31.309,604706.400177,10.669,"Kampong Speu"
1998,30.085,620865.095455,10.28,"Kampong Speu"
1999,28.989,636169.496512,9.863,"Kampong Speu"
2000,28.058,650554.5759405,9.426,"Kampong Speu"
2001,27.326,663943.7994255,8.983,"Kampong Speu"
2002,26.793,676377.0397395,8.553,"Kampong Speu"
2003,26.44,688068.7000055,8.153,"Kampong Speu"
2004,26.241,699324.2752375,7.792,"Kampong Speu"
2005,26.147,710396.5962775,7.479,"Kampong Speu"
2006,26.101,721333.5104525,7.214,"Kampong Speu"
2007,26.05,732157.9245365,6.991,"Kampong Speu"
2008,25.947,743069.7911175,6.802,"Kampong Speu"
2009,25.767,754296.7864025,6.644,"Kampong Speu"
2010,25.502,765996.3677025,6.512,"Kampong Speu"
2011,25.166,778264.1226305,6.401,"Kampong Speu"
2012,24.797,791057.288307,6.308,"Kampong Speu"
2013,24.422,804216.694765,6.228,"Kampong Speu"
2014,24.048,817499.198373,6.159,"Kampong Speu"
2015,23.674,830714.9619175,6.099,"Kampong Speu"
2016,23.291,843819.723945,6.051,"Kampong Speu"
2017,22.889,856831.7884665,6.017,"Kampong Speu"
2018,22.464,869697.1532975,5.997,"Kampong Speu"
2019,22.02,882367.971111,5.992,"Kampong Speu"
2020,NA,894807.6874055,NA,"Kampong Speu"
1960,46.626,269725.7209316,21.77,"Kampong Thom"
1961,46.353,276824.1085704,21.61,"Kampong Thom"
1962,46.067,284152.0451202,21.435,"Kampong Thom"
1963,45.762,291465.1811858,21.254,"Kampong Thom"
1964,45.435,298434.4652379,21.086,"Kampong Thom"
1965,45.082,304832.9879423,20.859,"Kampong Thom"
1966,44.702,310387.5531002,20.472,"Kampong Thom"
1967,44.302,315144.7775233,19.965,"Kampong Thom"
1968,43.89,319566.8699634,19.485,"Kampong Thom"
1969,43.474,324320.2292919,19.246,"Kampong Thom"
1970,43.026,329785.7087328,19.885,"Kampong Thom"
1971,42.508,336529.073292,22.164,"Kampong Thom"
1972,41.928,344187.3340242,26.319,"Kampong Thom"
1973,41.333,351121.8322249,32.166,"Kampong Thom"
1974,40.795,355085.8638196,39.186,"Kampong Thom"
1975,40.491,354667.5380321,46.18,"Kampong Thom"
1976,40.626,349022.1431511,51.642,"Kampong Thom"
1977,41.288,339187.5984826,54.444,"Kampong Thom"
1978,42.466,327932.8672251,53.981,"Kampong Thom"
1979,44.067,319124.5051729,50.262,"Kampong Thom"
1980,45.883,315512.3385927,43.92,"Kampong Thom"
1981,47.64,318156.1575697,36.102,"Kampong Thom"
1982,49.063,326166.9903459,28.323,"Kampong Thom"
1983,49.943,337960.2895412,21.785,"Kampong Thom"
1984,50.185,351056.3612932,17.007,"Kampong Thom"
1985,49.766,363643.8431582,14.164,"Kampong Thom"
1986,48.756,375241.8608056,13.009,"Kampong Thom"
1987,47.36,386419.0544946,12.757,"Kampong Thom"
1988,45.769,397629.1014877,12.753,"Kampong Thom"
1989,44.077,409668.4940843,12.775,"Kampong Thom"
1990,42.358,423067.4572741,12.678,"Kampong Thom"
1991,40.647,437853.8480194,12.43,"Kampong Thom"
1992,38.94,453625.3665347,12.139,"Kampong Thom"
1993,37.251,469973.2083631,11.88,"Kampong Thom"
1994,35.62,486337.3590053,11.625,"Kampong Thom"
1995,34.079,502280.5914185,11.346,"Kampong Thom"
1996,32.643,517683.1819407,11.026,"Kampong Thom"
1997,31.309,532562.6177682,10.669,"Kampong Thom"
1998,30.085,546793.519003,10.28,"Kampong Thom"
1999,28.989,560272.0465792,9.863,"Kampong Thom"
2000,28.058,572940.9311073,9.426,"Kampong Thom"
2001,27.326,584732.7691083,8.983,"Kampong Thom"
2002,26.793,595682.6763807,8.553,"Kampong Thom"
2003,26.44,605979.4769363,8.153,"Kampong Thom"
2004,26.241,615892.2190675,7.792,"Kampong Thom"
2005,26.147,625643.5699315,7.479,"Kampong Thom"
2006,26.101,635275.6684865,7.214,"Kampong Thom"
2007,26.05,644808.6886409,6.991,"Kampong Thom"
2008,25.947,654418.7278755,6.802,"Kampong Thom"
2009,25.767,664306.2997565,6.644,"Kampong Thom"
