"year","births","pop","deaths","provname"
2002,26.793,374688.1479996,8.553,"Pursat"
2003,26.44,381164.9002764,8.153,"Pursat"
2004,26.241,387400.07739,7.792,"Pursat"
2005,26.147,393533.738382,7.479,"Pursat"
2006,26.101,399592.388922,7.214,"Pursat"
2007,26.05,405588.7185252,6.991,"Pursat"
2008,25.947,411633.493614,6.802,"Pursat"
2009,25.767,417852.838482,6.644,"Pursat"
2010,25.502,424333.978722,6.512,"Pursat"
2011,25.166,431129.8663764,6.401,"Pursat"
2012,24.797,438216.8123736,6.308,"Pursat"
2013,24.422,445506.642372,6.228,"Pursat"
2014,24.048,452864.6636904,6.159,"Pursat"
2015,23.674,460185.713454,6.099,"Pursat"
2016,23.291,467445.272436,6.051,"Pursat"
2017,22.889,474653.4803892,6.017,"Pursat"
2018,22.464,481780.422078,5.997,"Pursat"
2019,22.02,488799.5918328,5.992,"Pursat"
2020,NA,495690.7397964,NA,"Pursat"
1960,46.626,64275.9712528,21.77,"Ratanak Kiri"
1961,46.353,65967.5257632,21.61,"Ratanak Kiri"
1962,46.067,67713.7820616,21.435,"Ratanak Kiri"
1963,45.762,69456.5113864,21.254,"Ratanak Kiri"
1964,45.435,71117.3003532,21.086,"Ratanak Kiri"
1965,45.082,72642.0761884,20.859,"Ratanak Kiri"
1966,44.702,73965.7359016,20.472,"Ratanak Kiri"
1967,44.302,75099.3883364,19.965,"Ratanak Kiri"
1968,43.89,76153.1784072,19.485,"Ratanak Kiri"
1969,43.474,77285.9097852,19.246,"Ratanak Kiri"
1970,43.026,78588.3402624,19.885,"Ratanak Kiri"
1971,42.508,80195.292336,22.164,"Ratanak Kiri"
1972,41.928,82020.2652936,26.319,"Ratanak Kiri"
1973,41.333,83672.7647492,32.166,"Ratanak Kiri"
1974,40.795,84617.3983568,39.186,"Ratanak Kiri"
1975,40.491,84517.7108068,46.18,"Ratanak Kiri"
1976,40.626,83172.4062588,51.642,"Ratanak Kiri"
1977,41.288,80828.8221608,54.444,"Ratanak Kiri"
1978,42.466,78146.8058508,53.981,"Ratanak Kiri"
1979,44.067,76047.7623332,50.262,"Ratanak Kiri"
1980,45.883,75186.9785916,43.92,"Ratanak Kiri"
1981,47.64,75817.0039076,36.102,"Ratanak Kiri"
1982,49.063,77725.9952172,28.323,"Ratanak Kiri"
1983,49.943,80536.3529296,21.785,"Ratanak Kiri"
1984,50.185,83657.1629456,17.007,"Ratanak Kiri"
1985,49.766,86656.7753656,14.164,"Ratanak Kiri"
1986,48.756,89420.5972448,13.009,"Ratanak Kiri"
1987,47.36,92084.1362568,12.757,"Ratanak Kiri"
1988,45.769,94755.5042516,12.753,"Ratanak Kiri"
1989,44.077,97624.5063244,12.775,"Ratanak Kiri"
1990,42.358,100817.4957428,12.678,"Ratanak Kiri"
1991,40.647,104341.1108552,12.43,"Ratanak Kiri"
1992,38.94,108099.4831276,12.139,"Ratanak Kiri"
1993,37.251,111995.1939548,11.88,"Ratanak Kiri"
1994,35.62,115894.7911924,11.625,"Ratanak Kiri"
1995,34.079,119694.083098,11.346,"Ratanak Kiri"
1996,32.643,123364.5393756,11.026,"Ratanak Kiri"
1997,31.309,126910.3272456,10.669,"Ratanak Kiri"
1998,30.085,130301.568524,10.28,"Ratanak Kiri"
1999,28.989,133513.5182336,9.863,"Ratanak Kiri"
2000,28.058,136532.5290084,9.426,"Ratanak Kiri"
2001,27.326,139342.5385164,8.983,"Ratanak Kiri"
2002,26.793,141951.9148956,8.553,"Ratanak Kiri"
2003,26.44,144405.6551404,8.153,"Ratanak Kiri"
2004,26.241,146767.87379,7.792,"Ratanak Kiri"
2005,26.147,149091.632702,7.479,"Ratanak Kiri"
2006,26.101,151386.973642,7.214,"Ratanak Kiri"
2007,26.05,153658.7040772,6.991,"Ratanak Kiri"
2008,25.947,155948.788254,6.802,"Ratanak Kiri"
2009,25.767,158305.008802,6.644,"Ratanak Kiri"
2010,25.502,160760.411442,6.512,"Ratanak Kiri"
2011,25.166,163335.0572404,6.401,"Ratanak Kiri"
2012,24.797,166019.9715096,6.308,"Ratanak Kiri"
2013,24.422,168781.749092,6.228,"Ratanak Kiri"
2014,24.048,171569.3611944,6.159,"Ratanak Kiri"
2015,23.674,174342.966494,6.099,"Ratanak Kiri"
2016,23.291,177093.275796,6.051,"Ratanak Kiri"
2017,22.889,179824.1305812,6.017,"Ratanak Kiri"
2018,22.464,182524.197358,5.997,"Ratanak Kiri"
2019,22.02,185183.4343608,5.992,"Ratanak Kiri"
2020,NA,187794.1698604,NA,"Ratanak Kiri"
1960,46.626,382942.8509516,21.77,"Siem Reap"
1961,46.353,393020.7804504,21.61,"Siem Reap"
1962,46.067,403424.6118102,21.435,"Siem Reap"
1963,45.762,413807.4301958,21.254,"Siem Reap"
1964,45.435,423702.0649929,21.086,"Siem Reap"
1965,45.082,432786.3618773,20.859,"Siem Reap"
1966,44.702,440672.4507902,20.472,"Siem Reap"
1967,44.302,447426.5159083,19.965,"Siem Reap"
1968,43.89,453704.7776934,19.485,"Siem Reap"
1969,43.474,460453.3553469,19.246,"Siem Reap"
1970,43.026,468212.9648928,19.885,"Siem Reap"
1971,42.508,477786.850692,22.164,"Siem Reap"
1972,41.928,488659.6595142,26.319,"Siem Reap"
1973,41.333,498504.9071299,32.166,"Siem Reap"
1974,40.795,504132.8374396,39.186,"Siem Reap"
1975,40.491,503538.9197771,46.18,"Siem Reap"
1976,40.626,495523.8754461,51.642,"Siem Reap"
1977,41.288,481561.2894526,54.444,"Siem Reap"
1978,42.466,465582.3948201,53.981,"Siem Reap"
1979,44.067,453076.7306779,50.262,"Siem Reap"
1980,45.883,447948.3604077,43.92,"Siem Reap"
1981,47.64,451701.9200347,36.102,"Siem Reap"
1982,49.063,463075.2927009,28.323,"Siem Reap"
1983,49.943,479818.8186812,21.785,"Siem Reap"
1984,50.185,498411.9548332,17.007,"Siem Reap"
1985,49.766,516283.0209482,14.164,"Siem Reap"
1986,48.756,532749.2961256,13.009,"Siem Reap"
1987,47.36,548618.1068646,12.757,"Siem Reap"
1988,45.769,564533.5610527,12.753,"Siem Reap"
1989,44.077,581626.4779193,12.775,"Siem Reap"
1990,42.358,600649.6439191,12.678,"Siem Reap"
1991,40.647,621642.6089494,12.43,"Siem Reap"
1992,38.94,644034.2082497,12.139,"Siem Reap"
1993,37.251,667244.0420581,11.88,"Siem Reap"
1994,35.62,690477.0302903,11.625,"Siem Reap"
1995,34.079,713112.4202435,11.346,"Siem Reap"
1996,32.643,734980.2343557,11.026,"Siem Reap"
1997,31.309,756105.3000582,10.669,"Siem Reap"
1998,30.085,776309.609353,10.28,"Siem Reap"
1999,28.989,795445.7368192,9.863,"Siem Reap"
2000,28.058,813432.3742923,9.426,"Siem Reap"
2001,27.326,830173.8257433,8.983,"Siem Reap"
2002,26.793,845719.9467957,8.553,"Siem Reap"
2003,26.44,860338.8201713,8.153,"Siem Reap"
2004,26.241,874412.4269425,7.792,"Siem Reap"
2005,26.147,888256.8986065,7.479,"Siem Reap"
2006,26.101,901932.0619115,7.214,"Siem Reap"
2007,26.05,915466.5587459,6.991,"Siem Reap"
2008,25.947,929110.4033505,6.802,"Siem Reap"
2009,25.767,943148.2746815,6.644,"Siem Reap"
2010,25.502,957777.0522615,6.512,"Siem Reap"
2011,25.166,973116.2557463,6.401,"Siem Reap"
2012,24.797,989112.4158162,6.308,"Siem Reap"
2013,24.422,1005566.511499,6.228,"Siem Reap"
2014,24.048,1022174.5238718,6.159,"Siem Reap"
2015,23.674,1038699.0866305,6.099,"Siem Reap"
2016,23.291,1055084.856687,6.051,"Siem Reap"
2017,22.889,1071354.7207839,6.017,"Siem Reap"
2018,22.464,1087441.1563385,5.997,"Siem Reap"
2019,22.02,1103284.3366026,5.992,"Siem Reap"
2020,NA,1118838.5550113,NA,"Siem Reap"
1960,46.626,47703.4097036,21.77,"Stung Treng"
1961,46.353,48958.8231384,21.61,"Stung Treng"
1962,46.067,50254.8343542,21.435,"Stung Treng"
1963,45.762,51548.2279718,21.254,"Stung Treng"
1964,45.435,52780.8082809,21.086,"Stung Treng"
1965,45.082,53912.4443333,20.859,"Stung Treng"
1966,44.702,54894.8189342,20.472,"Stung Treng"
1967,44.302,55736.1766843,19.965,"Stung Treng"
1968,43.89,56518.2633414,19.485,"Stung Treng"
1969,43.474,57358.9375149,19.246,"Stung Treng"
1970,43.026,58325.5565088,19.885,"Stung Treng"
1971,42.508,59518.180932,22.164,"Stung Treng"
1972,41.928,60872.6129382,26.319,"Stung Treng"
1973,41.333,62099.0410579,32.166,"Stung Treng"
1974,40.795,62800.1155516,39.186,"Stung Treng"
1975,40.491,62726.1308891,46.18,"Stung Treng"
1976,40.626,61727.6922381,51.642,"Stung Treng"
1977,41.288,59988.3649246,54.444,"Stung Treng"
1978,42.466,57997.8648921,53.981,"Stung Treng"
1979,44.067,56440.0271659,50.262,"Stung Treng"
1980,45.883,55801.1831517,43.92,"Stung Treng"
1981,47.64,56268.7662187,36.102,"Stung Treng"
1982,49.063,57685.5537489,28.323,"Stung Treng"
1983,49.943,59771.3043452,21.785,"Stung Treng"
1984,50.185,62087.4619372,17.007,"Stung Treng"
1985,49.766,64313.6708522,14.164,"Stung Treng"
1986,48.756,66364.8841576,13.009,"Stung Treng"
1987,47.36,68341.6709766,12.757,"Stung Treng"
1988,45.769,70324.2681967,12.753,"Stung Treng"
1989,44.077,72453.5426153,12.775,"Stung Treng"
1990,42.358,74823.2692711,12.678,"Stung Treng"
1991,40.647,77438.3749174,12.43,"Stung Treng"
1992,38.94,80227.7092337,12.139,"Stung Treng"
1993,37.251,83118.9714901,11.88,"Stung Treng"
1994,35.62,86013.1181063,11.625,"Stung Treng"
1995,34.079,88832.8215635,11.346,"Stung Treng"
1996,32.643,91556.9076597,11.026,"Stung Treng"
1997,31.309,94188.4691622,10.669,"Stung Treng"
1998,30.085,96705.331513,10.28,"Stung Treng"
1999,28.989,99089.1298432,9.863,"Stung Treng"
2000,28.058,101329.7355483,9.426,"Stung Treng"
2001,27.326,103415.2277193,8.983,"Stung Treng"
2002,26.793,105351.8168997,8.553,"Stung Treng"
2003,26.44,107172.8983073,8.153,"Stung Treng"
2004,26.241,108926.0555425,7.792,"Stung Treng"
2005,26.147,110650.6692865,7.479,"Stung Treng"
2006,26.101,112354.1921915,7.214,"Stung Treng"
2007,26.05,114040.1921939,6.991,"Stung Treng"
2008,25.947,115739.8137105,6.802,"Stung Treng"
2009,25.767,117488.5193615,6.644,"Stung Treng"
2010,25.502,119310.8345415,6.512,"Stung Treng"
2011,25.166,121221.6478823,6.401,"Stung Treng"
2012,24.797,123214.2986802,6.308,"Stung Treng"
2013,24.422,125263.994779,6.228,"Stung Treng"
2014,24.048,127332.8643678,6.159,"Stung Treng"
2015,23.674,129391.3385905,6.099,"Stung Treng"
2016,23.291,131432.523327,6.051,"Stung Treng"
2017,22.889,133459.2695919,6.017,"Stung Treng"
2018,22.464,135463.1660585,5.997,"Stung Treng"
2019,22.02,137436.7600746,5.992,"Stung Treng"
2020,NA,139374.3579473,NA,"Stung Treng"
1960,46.626,206237.7203032,21.77,"Svay Rieng"
1961,46.353,211665.2905008,21.61,"Svay Rieng"
1962,46.067,217268.3784204,21.435,"Svay Rieng"
1963,45.762,222860.1495916,21.254,"Svay Rieng"
1964,45.435,228189.0045858,21.086,"Svay Rieng"
1965,45.082,233081.4439546,20.859,"Svay Rieng"
1966,44.702,237328.5763804,20.472,"Svay Rieng"
1967,44.302,240966.0460166,19.965,"Svay Rieng"
1968,43.89,244347.2669868,19.485,"Svay Rieng"
1969,43.474,247981.7812938,19.246,"Svay Rieng"
1970,43.026,252160.7969856,19.885,"Svay Rieng"
1971,42.508,257316.909384,22.164,"Svay Rieng"
1972,41.928,263172.5698284,26.319,"Svay Rieng"
1973,41.333,268474.8268598,32.166,"Svay Rieng"
1974,40.795,271505.8052792,39.186,"Svay Rieng"
1975,40.491,271185.9449542,46.18,"Svay Rieng"
1976,40.626,266869.3622922,51.642,"Svay Rieng"
1977,41.288,259349.6713052,54.444,"Svay Rieng"
1978,42.466,250744.0770402,53.981,"Svay Rieng"
1979,44.067,244009.0259558,50.262,"Svay Rieng"
1980,45.883,241247.0906154,43.92,"Svay Rieng"
1981,47.64,243268.6078694,36.102,"Svay Rieng"
1982,49.063,249393.8520018,28.323,"Svay Rieng"
1983,49.943,258411.2461624,21.785,"Svay Rieng"
1984,50.185,268424.7664664,17.007,"Svay Rieng"
1985,49.766,278049.4086964,14.164,"Svay Rieng"
1986,48.756,286917.4866512,13.009,"Svay Rieng"
1987,47.36,295463.7941292,12.757,"Svay Rieng"
1988,45.769,304035.2219054,12.753,"Svay Rieng"
1989,44.077,313240.7840386,12.775,"Svay Rieng"
1990,42.358,323485.9012382,12.678,"Svay Rieng"
1991,40.647,334791.8734988,12.43,"Svay Rieng"
1992,38.94,346851.0942994,12.139,"Svay Rieng"
1993,37.251,359350.9835162,11.88,"Svay Rieng"
1994,35.62,371863.3427806,11.625,"Svay Rieng"
1995,34.079,384053.859487,11.346,"Svay Rieng"
1996,32.643,395830.9905114,11.026,"Svay Rieng"
1997,31.309,407208.1069164,10.669,"Svay Rieng"
1998,30.085,418089.340706,10.28,"Svay Rieng"
1999,28.989,428395.2944384,9.863,"Svay Rieng"
2000,28.058,438082.1787846,9.426,"Svay Rieng"
2001,27.326,447098.4556866,8.983,"Svay Rieng"
2002,26.793,455470.9753914,8.553,"Svay Rieng"
2003,26.44,463344.1165426,8.153,"Svay Rieng"
2004,26.241,470923.598885,7.792,"Svay Rieng"
2005,26.147,478379.678213,7.479,"Svay Rieng"
2006,26.101,485744.574823,7.214,"Svay Rieng"
2007,26.05,493033.7140918,6.991,"Svay Rieng"
2008,25.947,500381.743701,6.802,"Svay Rieng"
2009,25.767,507941.980363,6.644,"Svay Rieng"
2010,25.502,515820.455523,6.512,"Svay Rieng"
2011,25.166,524081.5376926,6.401,"Svay Rieng"
2012,24.797,532696.4304324,6.308,"Svay Rieng"
2013,24.422,541557.948998,6.228,"Svay Rieng"
2014,24.048,550502.3609436,6.159,"Svay Rieng"
2015,23.674,559401.830261,6.099,"Svay Rieng"
2016,23.291,568226.551374,6.051,"Svay Rieng"
2017,22.889,576988.8501678,6.017,"Svay Rieng"
2018,22.464,585652.361677,5.997,"Svay Rieng"
2019,22.02,594184.8656052,5.992,"Svay Rieng"
2020,NA,602561.7462226,NA,"Svay Rieng"
1960,46.626,360927.169156,21.77,"Takeo"
1961,46.353,370425.710664,21.61,"Takeo"
1962,46.067,380231.417682,21.435,"Takeo"
1963,45.762,390017.319778,21.254,"Takeo"
1964,45.435,399343.104339,21.086,"Takeo"
1965,45.082,407905.137943,20.859,"Takeo"
1966,44.702,415337.849482,20.472,"Takeo"
1967,44.302,421703.618153,19.965,"Takeo"
1968,43.89,427620.937794,19.485,"Takeo"
1969,43.474,433981.534479,19.246,"Takeo"
1970,43.026,441295.038048,19.885,"Takeo"
1971,42.508,450318.51372,22.164,"Takeo"
1972,41.928,460566.236322,26.319,"Takeo"
1973,41.333,469845.473009,32.166,"Takeo"
1974,40.795,475149.849236,39.186,"Takeo"
1975,40.491,474590.076361,46.18,"Takeo"
1976,40.626,467035.823151,51.642,"Takeo"
1977,41.288,453875.957066,54.444,"Takeo"
1978,42.466,438815.701491,53.981,"Takeo"
1979,44.067,427028.997689,50.262,"Takeo"
1980,45.883,422195.461407,43.92,"Takeo"
1981,47.64,425733.225977,36.102,"Takeo"
1982,49.063,436452.734619,28.323,"Takeo"
1983,49.943,452233.662292,21.785,"Takeo"
1984,50.185,469757.864612,17.007,"Takeo"
1985,49.766,486601.509262,14.164,"Takeo"
1986,48.756,502121.125496,13.009,"Takeo"
1987,47.36,517077.625986,12.757,"Takeo"
1988,45.769,532078.088357,12.753,"Takeo"
1989,44.077,548188.320163,12.775,"Takeo"
1990,42.358,566117.829581,12.678,"Takeo"
1991,40.647,585903.892754,12.43,"Takeo"
1992,38.94,607008.181627,12.139,"Takeo"
1993,37.251,628883.664071,11.88,"Takeo"
1994,35.62,650780.969773,11.625,"Takeo"
1995,34.079,672115.033585,11.346,"Takeo"
1996,32.643,692725.650087,11.026,"Takeo"
1997,31.309,712636.219362,10.669,"Takeo"
1998,30.085,731678.96723,10.28,"Takeo"
1999,28.989,749714.943872,9.863,"Takeo"
2000,28.058,766667.515593,9.426,"Takeo"
2001,27.326,782446.488003,8.983,"Takeo"
2002,26.793,797098.850487,8.553,"Takeo"
2003,26.44,810877.273483,8.153,"Takeo"
2004,26.241,824141.777675,7.792,"Takeo"
2005,26.147,837190.319915,7.479,"Takeo"
2006,26.101,850079.287465,7.214,"Takeo"
2007,26.05,862835.675569,6.991,"Takeo"
2008,25.947,875695.124955,6.802,"Takeo"
2009,25.767,888925.948165,6.644,"Takeo"
2010,25.502,902713.705965,6.512,"Takeo"
2011,25.166,917171.046733,6.401,"Takeo"
2012,24.797,932247.575142,6.308,"Takeo"
2013,24.422,947755.71209,6.228,"Takeo"
2014,24.048,963408.916938,6.159,"Takeo"
2015,23.674,978983.469755,6.099,"Takeo"
2016,23.291,994427.20917,6.051,"Takeo"
2017,22.889,1009761.706149,6.017,"Takeo"
2018,22.464,1024923.320035,5.997,"Takeo"
2019,22.02,1039855.663566,5.992,"Takeo"
2020,NA,1054515.657883,NA,"Takeo"
1960,46.626,322094.0082896,21.77,"Tboung Khmum"
1961,46.353,330570.5752224,21.61,"Tboung Khmum"
1962,46.067,339321.2588712,21.435,"Tboung Khmum"
1963,45.762,348054.2684648,21.254,"Tboung Khmum"
1964,45.435,356376.6658524,21.086,"Tboung Khmum"
1965,45.082,364017.4863788,20.859,"Tboung Khmum"
1966,44.702,370650.4917512,20.472,"Tboung Khmum"
1967,44.302,376331.3496148,19.965,"Tboung Khmum"
1968,43.89,381612.0083304,19.485,"Tboung Khmum"
1969,43.474,387288.2506764,19.246,"Tboung Khmum"
1970,43.026,393814.8739968,19.885,"Tboung Khmum"
1971,42.508,401867.488752,22.164,"Tboung Khmum"
1972,41.928,411012.6302952,26.319,"Tboung Khmum"
1973,41.333,419293.4880244,32.166,"Tboung Khmum"
1974,40.795,424027.1516176,39.186,"Tboung Khmum"
1975,40.491,423527.6062676,46.18,"Tboung Khmum"
1976,40.626,416786.1362316,51.642,"Tboung Khmum"
1977,41.288,405042.1768456,54.444,"Tboung Khmum"
1978,42.466,391602.2961756,53.981,"Tboung Khmum"
1979,44.067,381083.7567124,50.262,"Tboung Khmum"
1980,45.883,376770.2740812,43.92,"Tboung Khmum"
1981,47.64,379927.4006932,36.102,"Tboung Khmum"
1982,49.063,389493.5675004,28.323,"Tboung Khmum"
1983,49.943,403576.5811472,21.785,"Tboung Khmum"
1984,50.185,419215.3056592,17.007,"Tboung Khmum"
1985,49.766,434246.6955992,14.164,"Tboung Khmum"
1986,48.756,448096.5130336,13.009,"Tboung Khmum"
1987,47.36,461443.8019176,12.757,"Tboung Khmum"
1988,45.769,474830.3227012,12.753,"Tboung Khmum"
1989,44.077,489207.2097308,12.775,"Tboung Khmum"
1990,42.358,505207.6332196,12.678,"Tboung Khmum"
1991,40.647,522864.8586664,12.43,"Tboung Khmum"
1992,38.94,541698.4782332,12.139,"Tboung Khmum"
1993,37.251,561220.3165036,11.88,"Tboung Khmum"
1994,35.62,580761.6300068,11.625,"Tboung Khmum"
1995,34.079,599800.302386,11.346,"Tboung Khmum"
1996,32.643,618193.3651692,11.026,"Tboung Khmum"
1997,31.309,635961.7007592,10.669,"Tboung Khmum"
1998,30.085,652955.586268,10.28,"Tboung Khmum"
1999,28.989,669051.0218752,9.863,"Tboung Khmum"
2000,28.058,684179.6191188,9.426,"Tboung Khmum"
2001,27.326,698260.8878748,8.983,"Tboung Khmum"
2002,26.793,711336.7618092,8.553,"Tboung Khmum"
2003,26.44,723632.7258428,8.153,"Tboung Khmum"
2004,26.241,735470.06503,7.792,"Tboung Khmum"
2005,26.147,747114.678214,7.479,"Tboung Khmum"
2006,26.101,758616.885794,7.214,"Tboung Khmum"
2007,26.05,770000.7785204,6.991,"Tboung Khmum"
2008,25.947,781476.643878,6.802,"Tboung Khmum"
2009,25.767,793283.925914,6.644,"Tboung Khmum"
2010,25.502,805588.220394,6.512,"Tboung Khmum"
2011,25.166,818490.0555428,6.401,"Tboung Khmum"
2012,24.797,831944.4582072,6.308,"Tboung Khmum"
2013,24.422,845784.031444,6.228,"Tboung Khmum"
2014,24.048,859753.0643208,6.159,"Tboung Khmum"
2015,23.674,873651.907558,6.099,"Tboung Khmum"
2016,23.291,887434.011972,6.051,"Tboung Khmum"
2017,22.889,901118.6276484,6.017,"Tboung Khmum"
2018,22.464,914648.961206,5.997,"Tboung Khmum"
2019,22.02,927974.6922456,5.992,"Tboung Khmum"
2020,NA,941057.3768828,NA,"Tboung Khmum"
